product,img_url,price,url_of_item,description
AV Risiver Pioneer SC-2023-S,http://static.emmi.rs/images/products/200/m4744863.jpg,118.790,http://emmi.rs/multimedija-av-risiver-pioneer-sc-2023-s.11.html?productId=44787,"7.2-kanalni AV risiver 8x HDMI, AirPlay, DLNA, Jitter Reduction and Ultra HD 4K Upscaling/Pass Through"
AV Risiver Pioneer VSX-1123-K,http://static.emmi.rs/images/products/200/m4744865.jpg,77.990,http://emmi.rs/multimedija-av-risiver-pioneer-vsx-1123-k.11.html?productId=44788,"7.2-kanalni AV risiver 8x HDMI, AirPlay, DLNA, HDMI Zone Out, MHL, ARC, and Ultra HD 4K Upscaling/Pass Through"
"HDD SATA2 5400 1TB Seagate Barracuda®  2.5"" ST10...",http://static.emmi.rs/images/products/200/m1178781.jpg,6.149,http://emmi.rs/hdd-hdd-sata2-5400-1tb-seagate-barracuda%C2%AE--25-st10.11.html?productId=36757,
AV Risiver Mrežni sa Pojačalom Pioneer SC-LX77-K,http://static.emmi.rs/images/products/200/m4745118.jpg,214.990,http://emmi.rs/multimedija-av-risiver-mre%C5%BEni-sa-poja%C4%8Dalom-pioneer-sc-lx77-k.11.html?productId=44902,
AV Risiver Mrežni sa Pojačalom Marantz SR5008/N1SG,http://static.emmi.rs/images/products/200/m4750057.jpg,69.990,http://emmi.rs/multimedija-av-risiver-mre%C5%BEni-sa-poja%C4%8Dalom-marantz-sr5008-n1sg.11.html?productId=46748,
AV Risiver Onkyo HT-S3505 (B) + 5.1 Zvučnici,http://static.emmi.rs/images/products/200/m4744802.jpg,46.990,http://emmi.rs/multimedija-av-risiver-onkyo-ht-s3505-(b)-+-51-zvu%C4%8Dnici.11.html?productId=44752,Onkyo surround risiver sa zvučnicima HT-S3505 (B)
AV Risiver Mrežni sa Pojačalom Pioneer SC-LX87-S,http://static.emmi.rs/images/products/200/m4745120.jpg,279.990,http://emmi.rs/multimedija-av-risiver-mre%C5%BEni-sa-poja%C4%8Dalom-pioneer-sc-lx87-s.11.html?productId=44904,
AV Risiver Marantz NR1504/N1B,http://static.emmi.rs/images/products/200/m4744535.jpg,46.990,http://emmi.rs/multimedija-av-risiver-marantz-nr1504-n1b.11.html?productId=44645,
AV Risiver Mrežni Marantz MCR510/N1B,http://static.emmi.rs/images/products/200/m4744796.jpg,48.990,http://emmi.rs/multimedija-av-risiver-mre%C5%BEni-marantz-mcr510-n1b.11.html?productId=44747,
AV Risiver Marantz NR1604/N1B,http://static.emmi.rs/images/products/200/m4744791.jpg,69.990,http://emmi.rs/multimedija-av-risiver-marantz-nr1604-n1b.11.html?productId=44743,
AV Risiver Mrežni Marantz MCR510/N1W,http://static.emmi.rs/images/products/200/m4744795.jpg,48.990,http://emmi.rs/multimedija-av-risiver-mre%C5%BEni-marantz-mcr510-n1w.11.html?productId=44746,
AV Risiver Marantz NR1504/N1SG,http://static.emmi.rs/images/products/200/m4744789.jpg,46.990,http://emmi.rs/multimedija-av-risiver-marantz-nr1504-n1sg.11.html?productId=44741,
AV Risiver Mrežni Onkyo TX-NR535 (S),http://static.emmi.rs/images/products/200/m4744806.jpg,45.590,http://emmi.rs/multimedija-av-risiver-mre%C5%BEni-onkyo-tx-nr535-(s).11.html?productId=44758,"Zamislite da igrate najnovije igre ili gledate film na vašem Ultra HDTV sa 60 fps po sekundi. Sada možete dodati neverovatno dobar 5.2 kanalni surround zvuk iz Onkyo linije  AV Risiver-a. Onkyo je japanski proizvodjač potrošačke elektronike, specijalizovan za kućne bio-skope i Hi Fi audio opremu."
AV Risiver Mrežni sa Pojačalom Pioneer SC-LX77-S,http://static.emmi.rs/images/products/200/m4745119.jpg,214.990,http://emmi.rs/multimedija-av-risiver-mre%C5%BEni-sa-poja%C4%8Dalom-pioneer-sc-lx77-s.11.html?productId=44903,
AV receiver Pioneer SC-2022-K,http://static.emmi.rs/images/products/200/m1160447.jpg,114.990,http://emmi.rs/multimedija-av-receiver-pioneer-sc-2022-k.11.html?productId=27998,
AV Kabl SCART (muški) na SCART (muški) - 4.0m,http://static.emmi.rs/images/products/200/m4743633.jpg,639,http://emmi.rs/kablovi-av-kabl-scart-(mu%C5%A1ki)-na-scart-(mu%C5%A1ki)---40m.11.html?productId=44239,AV Kabl SCART (muški) na SCART (muški)
AV receiver Pioneer VSX-922-K,http://static.emmi.rs/images/products/200/m1160459.jpg,62.990,http://emmi.rs/multimedija-av-receiver-pioneer-vsx-922-k.11.html?productId=28007,
AV Kabl S-Video (muški) na S-Video (muški) - 2.0m,http://static.emmi.rs/images/products/200/m4713963.jpg,249,http://emmi.rs/kablovi-av-kabl-s-video-(mu%C5%A1ki)-na-s-video-(mu%C5%A1ki)---20m.11.html?productId=43816,
AV receiver Pioneer VSX-827-S,http://static.emmi.rs/images/products/200/m1160457.jpg,45.890,http://emmi.rs/multimedija-av-receiver-pioneer-vsx-827-s.11.html?productId=28004,
AV Kabl HDMI-HDMI 5m,http://static.emmi.rs/images/products/200/m1180570.jpg,2.199,http://emmi.rs/kablovi-av-kabl-hdmi-hdmi-5m.11.html?productId=37355,
AV Kabl SCART (muški) na SCART (muški) - 2.0m,http://static.emmi.rs/images/products/200/m1182655.jpg,380,http://emmi.rs/kablovi-av-kabl-scart-(mu%C5%A1ki)-na-scart-(mu%C5%A1ki)---20m.11.html?productId=38472,
AV Kabl SCART (muški) na SCART (muški) - 1.5m 1195...,http://static.emmi.rs/images/products/200/m1147523.jpg,272,http://emmi.rs/kablovi-av-kabl-scart-(mu%C5%A1ki)-na-scart-(mu%C5%A1ki)---15m-1195.11.html?productId=23090,AV Kabl bidirekcionalni SCART (muški) na SCART (muški)
AV Kabl HDMI-HDMI 5m High Speed Hama 122102,http://static.emmi.rs/images/products/200/m1180567.jpg,1.760,http://emmi.rs/kablovi-av-kabl-hdmi-hdmi-5m-high-speed-hama-122102.11.html?productId=37353,
AV kabl SCART (M) na 3x činč,http://static.emmi.rs/images/products/200/m1156209.jpg,549,http://emmi.rs/kablovi-av-kabl-scart-(m)-na-3x-%C4%8Din%C4%8D.11.html?productId=28476,
AV Kabl HDMI-HDMI 3m,http://static.emmi.rs/images/products/200/m1182029.jpg,2.099,http://emmi.rs/kablovi-av-kabl-hdmi-hdmi-3m.11.html?productId=38390,Profesionalni AV Kabl HDMI-HDMI 3m High Speed sa rotirajućim konektorom
AV Kabl HDMI-HDMI 3m,http://static.emmi.rs/images/products/200/m1147526.jpg,878,http://emmi.rs/kablovi-av-kabl-hdmi-hdmi-3m.11.html?productId=23092,
AV kabl SCART (M) na 3x činč,http://static.emmi.rs/images/products/200/m1155847.jpg,499,http://emmi.rs/kablovi-av-kabl-scart-(m)-na-3x-%C4%8Din%C4%8D.11.html?productId=29060,
AV Kabl HDMI-HDMI 3m High Speed Hama 122101,http://static.emmi.rs/images/products/200/m1180566.jpg,1.349,http://emmi.rs/kablovi-av-kabl-hdmi-hdmi-3m-high-speed-hama-122101.11.html?productId=37352,
AV Kabl HDMI-HDMI 3m,http://static.emmi.rs/images/products/200/m1180568.jpg,1.799,http://emmi.rs/kablovi-av-kabl-hdmi-hdmi-3m.11.html?productId=37354,
AV Kabl HDMI-HDMI 10m,http://static.emmi.rs/images/products/200/m1168879.jpg,3.699,http://emmi.rs/kablovi-av-kabl-hdmi-hdmi-10m.11.html?productId=32908,"HDMI pozlacen ulaz za sigurniji protok signala do 100Mbit/s. Potpuno zašticene audio i video linije za smanjenje elektromagnethinh smetnji.Rezolucija u full HD formatu (4096 x 2160 pixels). Rezolucija slika 3840 x 2160 - 24 Hz/25 Hz/30 Hz, 4096 x 2160 - 24 Hz."
AV Kabl HDMI-HDMI 10m,http://static.emmi.rs/images/products/200/m1180338.jpg,3.599,http://emmi.rs/kablovi-av-kabl-hdmi-hdmi-10m.11.html?productId=38387,
AV Kabl HDMI-HDMI 1.5m,http://static.emmi.rs/images/products/200/m1155928.jpg,1.155,http://emmi.rs/kablovi-av-kabl-hdmi-hdmi-15m.11.html?productId=28257,
AV Kabl HDMI-HDMI 1,http://static.emmi.rs/images/products/200/m1183204.jpg,1.699,http://emmi.rs/kablovi-av-kabl-hdmi-hdmi-1.11.html?productId=38578,
AV Kabl HDMI-HDMI 1,http://static.emmi.rs/images/products/200/m1180615.jpg,1.149,http://emmi.rs/kablovi-av-kabl-hdmi-hdmi-1.11.html?productId=38388,
AV Kabl HDMI-HDMI 1,http://static.emmi.rs/images/products/200/m1180565.jpg,799,http://emmi.rs/kablovi-av-kabl-hdmi-hdmi-1.11.html?productId=37351,
AV Kabl HDMI-HDMI 1,http://static.emmi.rs/images/products/200/m1147525.jpg,559,http://emmi.rs/kablovi-av-kabl-hdmi-hdmi-1.11.html?productId=23081,"Nemački kvalitet, kabl obložen višestrukim zaštitama tako da nema ometanja signala od strane drugih aparata."
AV Kabl HDMI- micro HDMI 2 M,http://static.emmi.rs/images/products/200/m1150604.jpg,1.785,http://emmi.rs/kablovi-av-kabl-hdmi--micro-hdmi-2-m.11.html?productId=24312,
AV Kabl HDMI na DVI/D 1.5m,http://static.emmi.rs/images/products/200/m4711610.jpg,1.361,http://emmi.rs/kablovi-av-kabl-hdmi-na-dvi-d-15m.11.html?productId=42460,Kabl HDMI na DVI/D će vam pomoći da povežete uređaje koji imaju HDMI izlaz sa monitorima i televizorima koji imaju DVI/D ulaz.
AV Kabl HDMI na DVI/D 1.5m Hama 56443,http://static.emmi.rs/images/products/200/m1147708.jpg,1.361,http://emmi.rs/kablovi-av-kabl-hdmi-na-dvi-d-15m-hama-56443-.11.html?productId=23052,
AV Kabl HDMI 3m pozlaćen filter,http://static.emmi.rs/images/products/200/m1155878.jpg,1.699,http://emmi.rs/kablovi-av-kabl-hdmi-3m-pozla%C4%87en-filter.11.html?productId=28752,
